name,capacity,town,population,roofed,latitude,longitude
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617
Auditorio Municipal Maestro Padilla de Almería,966,Almería,202675,True,36.82327470767095,-2.4445532620900283
Teatro Juan Luis Galiardo de San Roque,670,San Roque,33646,True,36.21003935,-5.388292377875176
Cine-Teatro Filarmónica de Oviedo,1221,Oviedo,220543,True,43.36254485,-5.846429934052317
Gran Teatro Falla de Cádiz,1214,Cádiz,110914,True,36.53367865,-6.302112149999999
Jove Teatre Regina de Barcelona,337,Barcelona,1702547,True,41.3968327,2.1561511
L´Espai de Barcelona,370,Barcelona,1702547,True,41.3944931,2.14700475
Palacio de Congresos de Jaca,532,Jaca,13620,True,42.57481885,-0.5468783433419717
Paraninfo de Las Llamas(Pabellón central) de Santander,0,Santander,174101,True,43.47322485,-3.7953595492099614
Pere Gran Maristany(El Casino) de El Masnou,700,el Masnou,24181,True,41.483573,2.3276662
"Sala A, ´´Iturbi´´(Palau de la Música i Congressos de Valencia) de Valencia",1792,València,825948,True,39.4661802,-0.360453918832513
Sala Argenta(Palacio de Festivales de Cantabria) de Santander,1642,Santander,174101,True,43.46232165,-3.788856483710106
"Sala B, ´´Rodrigo´´(Palau de la Música i Congressos de Valencia) de Valencia",420,València,825948,True,39.4661802,-0.360453918832513
Sala Fernando de Rojas(Círculo de Bellas Artes) de Madrid,590,Madrid,3416771,True,40.4182074,-3.696513838467072
Sala Luis Galve(Auditorio-Palacio de Congresos) de Zaragoza,429,Zaragoza,686986,True,41.6382304,-0.9012271
Sala Medicina(Facultad de Medicina) de Santander,420,Santander,174101,True,43.45716824516632,-3.8486635274741623
Sala Mozart(Auditorio-Palacio de Congresos) de Zaragoza,1992,Zaragoza,686986,True,41.6382304,-0.9012271
Sala Multiusos ´Cesaraugusta´(Auditorio-Palacio de Congresos) de Zaragoza,2500,Zaragoza,686986,True,41.6382304,-0.9012271
Sala Pereda(Palacio de Festivales de Cantabria) de Santander,566,Santander,174101,True,43.46232165,-3.788856483710106
Sala Rialto(Teatre Cine Rialto) de Valencia,391,València,825948,True,39.4709608,-0.3762924
Sala Valle-Inclán(Real Escuela Superior de Arte Dramático-RESAD) de Madrid,498,Madrid,3416771,True,40.41034485,-3.6745603283650414
Salón de Actos(Centro Cívico Los Canapés) de Avilés,364,Avilés,75351,True,43.54627228904066,-5.915764113955044
Teatro CASYC de Santander,500,Santander,174101,True,43.46465865,-3.805814573853712
Teatre Ateneu de Tàrrega,552,Tàrrega,18268,True,41.6478307,1.1418977406196398
Teatre Condal de Barcelona,722,Barcelona,1702547,True,41.3747756,2.1644681
Teatre Conservatori de Manresa,566,Manresa,80201,True,41.7247903,1.8233415
Teatre del Sol de Sabadell,185,Sabadell,222177,True,41.54576663489412,2.108840497245217
Teatre Lliure Gràcia de Barcelona,315,Barcelona,1702547,True,41.4027189,2.1559586
Teatre Modern de El Prat de Llobregat,482,el Prat de Llobregat,66184,True,41.33033145,2.092716653182241
Teatre Municipal La Faràndula de Sabadell,1069,Sabadell,222177,True,41.54631365,2.1139567505635526
Teatre Principal de Badalona,350,Badalona,227083,True,41.45196827044486,2.249524329627876
Teatre Principal de Valencia,1226,València,825948,True,39.47074535,-0.3744734278807535
Teatre Victòria de Barcelona,1134,Barcelona,1702547,True,41.37498731676953,2.1656616860215574
Teatro Albéniz de Madrid,1040,Las Rozas de Madrid,98590,True,40.5229103,-3.8909015833788207
Teatro Auditorio Ciudad de Alcobendas de Alcobendas,989,Alcobendas,121373,True,40.54697738565614,-3.641612355606292
Teatro Bellas Artes de Tarazona,577,Tarazona,10720,True,41.90523,-1.7242485690226184
Teatro Bretón de los Herreros de Logroño,988,Logroño,151164,True,42.4649221,-2.448515204040421
Teatro Cerezo de Carmona,985,Carmona,29551,True,37.47044985532939,-5.644501524389447
Teatro Cervantes de Arnedo,472,Arnedo,15201,True,42.229069068589006,-2.091152238023698
Teatro Cine Comtal de Ripoll,564,Ripoll,10731,True,42.200014178779135,2.189122173082281
Teatro de la Comedia de Madrid,845,Madrid,3416771,True,40.4156155,-3.7003987
Teatro de la Latina de Madrid,913,Madrid,3416771,True,40.41156575,-3.708773605907534
Teatro de la Zarzuela de Madrid,1242,Madrid,3416771,True,40.41725705,-3.697192930781628
Teatro de Madrid de Madrid,865,Madrid,3416771,True,40.48285271407203,-3.702216646739411
Teatro Español de Madrid,741,Madrid,3416771,True,40.4258351,-3.6802814
Sala Cándido Lara(Teatro Lara) de Madrid,464,Madrid,3416771,True,40.4221297,-3.7043663
Teatro Lope de Vega de Madrid,1434,Madrid,3416771,True,40.4217768,-3.70869
Teatro Cervantes de Málaga,1134,Málaga,591637,True,36.72475726309074,-4.4181900064860455
Teatro Municipal Enrique de la Cuadra de Utrera,525,Utrera,52173,True,37.19213224249142,-5.799559498494321
Teatro Municipal F. G. Lorca(Centro Cultural F. G. Lorca) de San Fernando de Henares,466,San Fernando de Henares,38980,True,40.42454914857131,-3.52863455359894
Teatro Municipal Isabel la Católica de Granada,574,Granada,232717,True,37.1727515,-3.5989994
Teatro Palacio Valdés de Avilés,747,Avilés,75351,True,43.55531805,-5.920024764617039
Teatro Oscense de Huéscar,301,Huéscar,7220,True,37.8121435,-2.540407550717143
Teatro Principal de Puerto Real,406,Puerto Real,42151,True,36.532250575480745,-6.200490058105249
Teatro Principal de Reinosa,351,Reinosa,8570,True,43.0020457,-4.136461334593908
Teatro Real de Madrid,1476,Madrid,3416771,True,40.41815215,-3.709463045445115
Teatro Salón Cervantes de Alcalá de Henares,454,Alcalá de Henares,200702,True,40.4832891,-3.3646958500000004
Teatro Social/Social Antzokia de Basauri,754,Basauri,40388,True,43.23584347119878,-2.886893313188596
La Sala Teatre Municipal de Rubi,567,Rubí,81532,True,41.4879691896265,2.034446946211112
Teatro Marquina de Madrid,500,Madrid,3416771,True,40.421955,-3.6938248
Teatro Municipal(Casa de Cultura) de Tres Cantos,434,Tres Cantos,52932,True,40.599276,-3.7109882544634583
Centro Cívico Rigoberta Menchú de Leganés,300,Leganés,194084,True,40.335303083462186,-3.745551349274028
Auditorio Joaquín Rodrigo(Centro Cultural Isabel de Farnesio) de Aranjuez,404,Aranjuez,62292,True,40.0328095,-3.60177
Teatro Sanpol de Madrid,532,Madrid,3416771,True,40.42394905,-3.7269810638801273
Teatro Cervantes de Almería,500,Almería,202675,True,36.83729150306178,-2.463715548448928
Teatro Martín Recuerda(Casa de la Cultura) de Almuñécar,456,Almuñécar,27305,True,36.73525146909017,-3.6898596729351976
La Nube(Palacio de Exposiciones y Congresos) de Granada,638,Granada,232717,False,37.16477937694751,-3.600357231174426
Teatro Municipal Alameda de Sevilla,416,Sevilla,687488,True,37.4019118,-5.9945602404816345
Teatro Guimerá de Santa Cruz de Tenerife,854,Santa Cruz de Tenerife,211359,True,28.46547115,-16.250448141433118
Teatre Borràs de Barcelona,737,Barcelona,1702547,True,41.3888477,2.1735904
Palau de la Música Catalana de Barcelona,2138,Badalona,227083,True,41.44852275,2.24922325
Salón de Actos(Casa de Cultura) de Villarrobledo,320,Villarrobledo,25189,True,39.26269694052307,-2.606138365608421
Teatro Cine Archena Parque de Archena,600,Archena,20110,True,38.1163979711492,-1.297704787288487
Auditorio Municipal Tierno Galván de Alhama de Murcia,1000,Alhama de Murcia,23280,False,37.85175255,-1.43548735
Teatro Municipal Juan Bernabé de Lebrija,467,Lebrija,27727,True,36.91797812090889,-6.063854026722788
Gran Teatro de Córdoba,946,Córdoba,322811,True,37.88909667531115,-4.782753128059427
Centro Cultural de la Villa de Ingenio,514,Ingenio,32354,True,27.91940343255637,-15.444939159857656
Cine Retiro(Societat Recreativa El Retiro) de Sitges,701,Sitges,31954,True,41.2364395,1.8106941
Teatro Campoamor de Oviedo,1440,Oviedo,220543,True,43.36302149672,-5.848495735497769
Centre Cultural de Mislata,400,Mislata,46153,True,39.47277369497986,-0.4143370622049243
Teatro Auditorio de Cuenca,736,Cuenca,53429,True,40.07654618256079,-2.1283691063736017
Teatro de Rojas de Toledo,420,Toledo,86526,True,39.85777096001137,-4.022721602311142
Gran Teatro de Villarrobledo,550,Villarrobledo,25189,True,39.26779313696617,-2.6055685461310816
Teatro Villarroel de Barcelona,418,Barcelona,1702547,True,41.3845106,2.1574535
Auditorio(Casa de Cultura) de La Roda,398,La Roda,15542,True,39.20654097665861,-2.1563733187823706
Teatro Cine Crisfel de Alcázar de San Juan,709,Alcázar de San Juan,30928,True,39.39370885782436,-3.203245821782917
Teatro Victoria de Talavera de la Reina,371,Talavera de la Reina,84738,True,39.959267744917256,-4.83204843106822
Sala Trajano de Mérida,300,Mérida,59857,True,38.920957,-6.3474187
Teatro Alcázar(Palacio de los Recreos) de Madrid,759,Madrid,3416771,True,40.41762175,-3.698969291763469
Teatro Municipal(Centro Sociocultural) de Valdemoro,426,Valdemoro,83507,True,40.19222655,-3.676601584749784
Sala García Lorca(Palacio de Exposiciones y Congresos) de Granada,1999,Granada,232717,True,37.16477937694751,-3.600357231174426
Foro Iberoamericano de La Rábida de Palos de la Frontera,3831,Palos de la Frontera,12537,False,37.2132486,-6.9149121
Teatre Fortuny de Reus,807,Reus,109930,True,41.1562605,1.1065328
Teatro Galileo(Centro Cultural Galileo) de Madrid,210,Madrid,3416771,True,40.4343169,-3.71840965
Auditorio(Centro Cultural Antonio Machado) de Madrid,458,Madrid,3416771,True,40.42138024115288,-3.620707228353853
Teatro Cervantes de Campo de Criptana,428,Campo de Criptana,12960,True,39.40591608788138,-3.125136135816878
Salón de Actos(Casa de Cultura) de Madridejos,441,Madridejos,10169,True,39.46673457563225,-3.5321707883213573
San Agustín Kultur Gunea de Durango,304,Durango,29767,True,43.1654083369355,-2.632822293924753
Auditorio(Casa de Cultura) de Pilas,600,Pilas,14052,False,37.3029841638273,-6.297562223821075
Gran Teatro de Huelva,601,Huelva,143290,True,37.25622514098317,-6.951485656915619
Teatro Victoria de Priego de Córdoba,508,Priego de Córdoba,22003,True,37.437990878719646,-4.195336339331233
Teatro Thuiller de Caravaca de la Cruz,426,Caravaca de la Cruz,25756,True,38.10789004406046,-1.860214761391967
Teatro Guerra de Lorca,606,Lorca,98334,True,37.6735636797045,-1.6981274170442922
Sala Narciso Yepes(Auditorio y Centro de Congresos Víctor Villegas) de Murcia,1838,Lorquí,7706,True,38.07910837992952,-1.2523818227207877
Sala Miguel Ángel Clares(Auditorio y Centro de Congresos Víctor Villegas) de Murcia,469,Lorquí,7706,True,38.07910837992952,-1.2523818227207877
Teatro Vico de Jumilla,521,Jumilla,26784,True,38.47511193292706,-1.3261115432026502
Auditorio Parque Almansa de San Javier,2300,San Javier,35241,False,37.80129545909708,-0.8199214151561551
Teatro Municipal Felipe Godínez de Moguer,322,Moguer,22956,True,37.27512035719455,-6.839757197587023
Teatro Wagner de Aspe,550,Aspe,21473,True,38.3426186113752,-0.7714550413207902
Teatro Apolo de Barcelona,1016,Barcelona,1702547,True,41.3750019930869,2.161517850311214
Teatre Tívoli de Barcelona,1640,Olesa de Montserrat,24446,True,41.54661355651471,1.8788306727167727
Auditori Municipal Miquel Pont de Castellar del Vallès,332,Castellar del Vallès,25150,True,41.61645108793388,2.0868497919618574
Auditorio Municipal Manuel de Falla de Sanlúcar La Mayor,500,Sanlúcar la Mayor,14172,False,37.38932336611804,-6.207216052867118
Teatro Ideal Cinema de Úbeda,600,Úbeda,33810,True,38.00946735,-3.3689096059038945
Teatro-Cine Montemar de Baeza,836,Baeza,15723,True,37.9934115,-3.467339
Teatre Talía de Valencia,378,València,825948,True,39.47662525886396,-0.3785830837555896
Salón de Actos(Casa de Cultura) de Cullera,520,Cullera,23753,True,39.1624257085537,-0.2536665408673064
Teatro Principal de Requena,1495,Requena,20387,True,39.2973554,-1.1224999
Auditorio Municipal Benicarló de Benicarló,348,Benicarló,28681,True,40.41084960507836,0.4240061987326877
Auditori Joan Cererols(Centre Cultural Martorell) de Martorell,316,Martorell,28760,True,41.4731974,1.9158866107847423
Salón de Actos(Casa de la Cultura) de Catarroja,300,Catarroja,29316,True,39.40162835,-0.4042767461263024
Centro Cultural Capitolio de Godella,632,Godella,13414,True,39.51911015,-0.413022954058158
Teatro Circo de Orihuela,1200,Orihuela,83720,True,38.08546668207018,-0.9431420318449129
Teatro(Centre Cultural Salvador Miró) de Ibi,392,Ibi,23920,True,38.6180507692012,-0.5861792375527084
Teatro Cortés de Almoradí,480,Almoradí,21874,True,38.110847,-0.7893527012663709
Centre d´Arts Escèniques de Gavà(Espai Maragall) de Gavà,534,Gavà,48007,True,41.30239419029989,2.0005363800465963
Teatro Principal de Palencia,431,Palencia,76738,True,42.00971308850612,-4.530823224231536
Aula Juan del Encina(Anayita) de Salamanca,420,Salamanca,144866,True,40.96092891609258,-5.664789259161948
Teatro Carrión de Valladolid,803,Valladolid,300618,True,41.64965687488098,-4.726653513360875
Salón Cine Borja(Residencia del Sagrado Corazón) de Valladolid,486,Valladolid,300618,True,41.6524651,-4.720317985320804
Teatro(Manuel Lekuona Kultur Etxea) de Lasarte-Oria,530,Lasarte-Oria,19133,True,43.2705518,-2.0226429
Teatro Arriaga de Bilbao,1502,Bilbao,348089,True,43.259475550000005,-2.9250020488419013
Centre Municipal Bernat i Baldoví de Sueca,940,Sueca,28086,True,39.201504224489305,-0.3128952897832124
Teatro Cine Festival de Villafranca de los Barros,576,Villafranca de los Barros,12366,True,38.55944089703536,-6.338300572301129
Teatro Imperial de Don Benito,475,Don Benito,37485,True,38.95387738650354,-5.859542894836735
Auditorio(Casa de Cultura) de Aranda de Duero,292,Aranda de Duero,33626,True,41.67107665,-3.6881043890351872
Teatro Principal de Burgos,846,Burgos,175895,True,42.34027465,-3.702096160738829
Teatro Clunia(Centro Cultural Francisco Salinas) de Burgos,611,Burgos,175895,True,42.34022275,-3.7083194187374513
Teatro Nuevo Fernando Arrabal de Ciudad Rodrigo,506,Ciudad Rodrigo,11810,True,40.59689236907854,-6.532736446731892
Teatro Zorrilla de Valladolid,610,Valladolid,300618,True,41.651653,-4.7280698
Auditorium de la Feria de Muestras de Valladolid,612,Valladolid,300618,True,41.65878560718208,-4.736661547793527
Biteri Kultur Etxea de Hernani,172,Hernani,20527,True,43.261752,-1.9751269
Auditori Germanies de Manises,558,Manises,31573,True,39.49067595269047,-0.4592361854466176
Sala d´Audicions(Agrupació Musical La Lírica) de Silla,350,Silla,19683,True,39.36113855,-0.41071465
Auditorio Municipal Marcos Ortiz de Totana,1500,Totana,33149,True,37.76976180698529,-1.498787716392035
Teatro Bellas Artes de Madrid,455,Madrid,3416771,True,40.4181727,-3.6963263
Teatro Nuevo Apolo de Madrid,1275,Madrid,3416771,True,40.4121176,-3.703293399641577
Teatro Juan Ramón Jimenez(Casa de Cultura) de Telde,597,Telde,102867,True,27.997557990280416,-15.413647652453754
Sala de Teatro(Centro Insular de Cultura) de Las Palmas de Gran Canaria,252,Las Palmas de Gran Canaria,380436,True,28.106176244340087,-15.41907721046994
Teatro Principal de Santiago de Compostela,400,Santiago de Compostela,99536,True,42.878776,-8.543313970054513
Casa Municipal de Cultura de Miranda de Ebro,388,Miranda de Ebro,36018,True,42.6818624,-2.9442833
Teatre Municipal de Pego,500,Pego,10485,True,38.84143785,-0.1157599474637679
Salón de Actos(Auditorio Caja España) de Valladolid,389,Valladolid,300618,True,41.65222485,-4.72642334896126
Benidorm Palace de Benidorm,1800,Benidorm,74663,True,38.555065356767,-0.1017544452766836
Teatro Emperador de León,960,Burgos,175895,True,42.34482827231386,-3.717118011808729
Teatro Auditorio García Lorca de Getafe,723,Getafe,189906,True,40.30930671692739,-3.72983638878542
Teatro del Mercado de Zaragoza,208,Zaragoza,686986,True,41.657969163038125,-0.8894243341057663
Teatre Municipal de Manacor,453,Manacor,47777,True,39.56791144158304,3.220255319653296
Sala Gran(Teatre Nacional de Catalunya) de Barcelona,886,Badalona,227083,True,41.46032695,2.236318253246898
Sala Petita(Teatre Nacional de Catalunya) de Barcelona,602,Badalona,227083,True,41.46032695,2.236318253246898
Sala Tallers(Teatre Nacional de Catalunya) de Barcelona,0,Badalona,227083,True,41.46032695,2.236318253246898
Teatre Arnau de Barcelona,503,Barcelona,1702547,True,41.374684,2.1717397
Teatre Cirvianum de Torelló,516,Torelló,14902,True,42.04734275,2.2634948625035483
Teatro Principal de Inca,726,Inca,34577,True,39.72257165,2.909093
Auditorio de la Unió Filarmónica(La Unió Filarmónica) de Amposta,467,Amposta,22270,True,40.6683865,0.5651052
Teatro de la Maestranza de Sevilla,1800,Sevilla,687488,True,37.3840732,-5.996668806707386
Teatro Santo Tomás(Teatro Fundación Ávila) de Ávila,558,Ávila,58111,True,40.64706667344846,-4.685171528438264
Teatro Calderón de la Barca de Valladolid,1115,Valladolid,300618,True,41.65602418693548,-4.724264606383459
Auditorio Municipal de Albacete,582,Albacete,174137,True,38.99645255,-1.85675855
Teatro La Jaramilla(Centro Cultural La Jaramilla) de Coslada,323,Coslada,80760,True,40.417657269117456,-3.5788709390193043
Teatro Municipal Buero Vallejo(Centro Municipal de las Artes) de Alcorcón,903,Alcorcón,173625,True,40.34284741297854,-3.838301048615037
Teatro Calderón de Madrid,0,Madrid,3416771,True,40.4065721,-3.697498
L´Auditori de Cornellà de Llobregat,698,Cornellà de Llobregat,91589,True,41.349444000000005,2.0817436823405835
Centre Cultural Municipal de Valls,843,Valls,25014,True,41.28710740984658,1.2567900798688596
Sala San Juan de la Cruz(Teatro de la Abadía) de Madrid,309,Madrid,3416771,True,40.43535625,-3.7095912141826974
Sala José Luis Alonso(Teatro de la Abadía) de Madrid,195,Madrid,3416771,True,40.43535625,-3.7095912141826974
Teatro Afundación de Vigo,994,Vigo,293997,True,42.237711889761776,-8.724145071872334
Teatro Municipal Reina Sofía de Zuera,395,Zuera,8677,True,41.86817169306099,-0.7876596130850111
La Rotonda(Centro Cívico Delicias) de Zaragoza,250,Zaragoza,686986,True,41.6555503,-0.9065048
Teatro(Centro Cívico Río Ebro) de Zaragoza,176,Zaragoza,686986,True,41.676829,-0.889154
Teatro Pradillo de Madrid,120,Madrid,3416771,True,40.4485825,-3.6747279
Salón de actos(Casa de Cultura) de Villena,234,Villena,34144,True,38.63132483889155,-0.8635788487685818
Teatro Municipal Cervantes de Sax,408,Sax,10072,True,38.5364441,-0.8196918
Salón de actos(Casa de Cultura) de Santa Pola,260,Santa Pola,38556,True,38.19078115,-0.5883587499999998
Auditorio(Casa de Cultura) de Guardamar del Segura,421,Guardamar del Segura,17328,True,38.0925021,-0.6539656686944655
Cine Teatro Las Vegas de Villanueva de la Serena,550,Villanueva de la Serena,25751,True,38.96823082647103,-5.799254218093272
Teatro Gabriel y Galán(Palacio Juan Pizarro de Aragón) de Trujillo,298,Trujillo,8605,True,39.4583878,-5.8819231
Salón de actos(Centro Cultural Antonio Gala) de La Rinconada,190,La Rinconada,40529,True,37.48461750861231,-5.982055615932301
Teatro(Casa de Cultura) de Pilas,213,Pilas,14052,True,37.3029841638273,-6.297562223821075
Teatro Salón Gutiérrez de Alba de Alcalá de Guadaira,395,Alcalá de Guadaíra,76922,True,37.33607261350494,-5.846506911915434
Salón de Actos(Centro Cultural Doctor Velasco) de Laredo,252,Laredo,10849,True,43.4110568,-3.4146023
Sala Bretón de El Astillero,279,El Astillero,18220,True,43.39999708157266,-3.8216653009039327
Salón de Actos(Colegio Mayor San Juan Evangelista) de Madrid,519,Madrid,3416771,True,40.445587121792094,-3.721292194596465
Sala del Mirador de Madrid,120,Madrid,3416771,True,40.4070512,-3.6988713
La Nave de Aranjuez,100,Aranjuez,62292,True,40.02801443862813,-3.6160617690192782
Salón de Actos(Colegio Mayor Elías Ahuja) de Madrid,514,Madrid,3416771,True,40.451211400000005,-3.7149699838047017
Auditorio Sabatini(Museo Nacional Centro de Arte Reina Sofía) de Madrid,144,Madrid,3416771,True,40.4081081,-3.6935614
Sala El Montacargas de Madrid,50,Madrid,3416771,True,40.41181426722677,-3.727973948271756
Salón de Actos(Ateneo) de Madrid,214,Madrid,3416771,True,40.4151962,-3.698232113324317
